Sentence,RDF-star format,LPG format,LPG_tense: LPG + tense attribute + basic form verb,"LPG_id: LPG + tense attribute + basic verb 
+ node/edge 분리",LPG_sem: LPG_id + 의미 살려 재구현,Infoedge,"LPG_rea
--(:AND)-->? / --(:OR)-->? / -[:따라서]-> / -[:는]- / -- (상관관계) / --> (포함관계)",LPG_tense: LPG + tense attribute + basic form verb,RDF-star format
물가 상승세가 지속되고 있습니다.,(물가 상승세:수치 - 지속되다 - no information:none),"(a:수치 {{이름: ""물가 상승세""}})
(a)-[:지속되다]->(:None)","(a:수치 {{이름: ""물가 상승세""}})
(a)-[:지속되다]->(:None)","(a:경제:수치 {{이름: ""물가 상승세""}})
(b:None)
(a)-[:지속되다]->(b)","(a:물가 {{경향: '상승', 기간: '지속적'}})",,,"(a:수치 {{이름: ""물가 상승세""}})
(a)-[:지속되다]->(:None)","<< :물가_상승세 :지속되고_있다 :None >> :에 ""6시"" ."
세종대왕은 책을 좋아했다.,(세종대왕:사람 - 좋아했다 - 책:물건),"(a:사람 {{이름: '세종대왕'}})
(b:물건 {{종류: '책'}})
(a)-[:좋아했다]->(b)","(a:사람 {{이름: '세종대왕'}})
(b:물건 {{이름: '책'}})
(a)-[:좋아하다 {{시간: ""과거""}}]->(b)","(a:사람 {{이름: '세종대왕'}})
(b:책)
(a)-[:좋아하다 {{시간: ""과거""}}]->(b)","(a:사람 {{이름: '세종대왕', 취미: '독서'}})",,,"(a:사람 {{이름: '세종대왕'}})
(b:물건 {{종류: '책'}})
(a)-[:좋아하다 {{시간: ""과거""}}]->(b)",:세종대왕 :좋아했다 :책 .
꼼장어는 물고기가 아니다.,(꼼장어:생물 - 아니다 - 물고기:생물),"(a:동물 {{이름: '꼼장어'}})
(b:동물 {{종류: '물고기'}})
(a)-[:아니다]->(b)","(a:동물 {{이름: '꼼장어'}})
(b:동물 {{이름: '물고기'}})
(a)-[:아니다]->(b)","(a:꼼장어)
(b:물고기)
(a)-[:아니다]->(b)",(a:꼼장어 {{물고기: False}}),,,"(a:동물 {{이름: '꼼장어'}})
(b:동물 {{종류: '물고기'}})
(a)-[:아니다]->(b)",:꼼장어 :아니다 :물고기 .
이사회는 부사장을 차기 회장으로 선출했다.,(이사회:단체 - 차기 회장으로 선출했다 - 부사장:사람),"(a:단체 {{이름: '이사회'}})
(b:사람 {{직업: '부사장'}})
(a)-[:선출했다 {{으로: '차기 회장'}}]->(b)","(a:단체 {{이름: '이사회'}})
(b:사람 {{이름: '부사장'}})
(a)-[:선출하다 {{으로: '차기 회장', 시간: '과거'}}]->(b)","(a:이사회)
(b:부사장)
(c:회장 {{순서: '차기'}})
(a)-[:선출하다 {{으로: (c), 시간: ""과거""}}]->(b)","(a:이사회)
(b:부사장)
(a)-[:선출하다 {{으로: '차기 회장', 시간: ""과거""}}]->(b)",,,"(a:단체 {{이름: '이사회'}})
(b:사람 {{직업: '부사장'}})
(a)-[:선출하다 {{으로: '차기 회장', 시간: '과거'}}]->(b)",<< :이사회 :선출했다 :부사장 >> :으로 :차기_회장 .
학생 A는 선생님께 과제를 냈다.,(학생 A:사람 - 선생님께 제출했다 - 과제:물건),"(a:사람 {{이름: '학생 A'}})
(b:문서 {{이름: '과제'}})
(a)-[:제출했다 {{에게: '선생님'}}]->(b)","(a:사람 {{이름: '학생 A'}})
(b:문서 {{이름: '과제'}})
(a)-[:제출하다 {{에게: '선생님', 시간: ""과거""}}]->(b)","(a:사람 {{이름: '학생 A'}})
(b:과제)
(c:선생님)
(a)-[:제출하다 {{에게: (c), 시간: ""과거""}}]->(b)","(a:사람 {{이름: '학생 A'}})
(b:과제)
(a)-[:제출하다 {{에게: '선생님', 시간: ""과거""}}]->(b)",,,"(a:사람 {{이름: '학생 A'}})
(b:문서 {{이름: '과제'}})
(a)-[:제출하다 {{에게: '선생님', 시간: ""과거""}}]->(b)",":A :직업 :학생 .
<< :A :제출했다 :과제 >> :to :선생님 ."
왕 씨는 지난 6일에 위층 베란다에 남자아이가 매달려 있는 상황을 목격했다.,"(지난 6일:시간 - 위층 베란다에 - 남자아이가 매달려 있다:상황), (왕 씨:사람 - 목격했다 - 남자아이가 매달려 있다:상황)

","(a:사람 {{이름: '왕 씨'}})
(b:장소 {{이름: '위층 베란다'}})
(c:사람 {{성별: '남자', 연령: '아이'}})
(c)-[:매달리다]->(b)
(a)-[:목격했다 {{시간: '지난 6일'}}]->(c)","(a:사람 {{이름: '왕 씨'}})
(b:장소 {{이름: '위층 베란다'}})
(c:사람 {{성별: '남자', 연령: '아이'}})
(c)-[:매달리다 {{시간: '지난 6일'}}]->(b)
(a)-[:목격하다 {{시간: '지난 6일'}}]->(c)","(a:사람 {{이름: '왕 씨'}})
(b:장소 {{이름: '위층 베란다'}})
(c:사람 {{성별: '남자', 연령: '아이'}})
(c)-[:매달리다 {{시간: '지난 6일'}}]->(b)
(a)-[:목격하다 {{시간: '지난 6일'}}]->(c)","(a:사람 {{이름: '왕 씨'}})
(b:장소 {{이름: '위층 베란다'}})
(c:사람 {{성별: '남자', 연령: '아이'}})
(c)-[:매달리다 {{시간: '지난 6일', 목격: '왕 씨'}}]->(b)",,,"(a:사람 {{이름: '왕 씨'}})
(b:장소 {{이름: '위층 베란다'}})
(c:사람 {{성별: '남자', 연령: '아이'}})
(c)-[:매달리다 {{시간: '지난 6일'}}]->(b)
(a)-[:목격하다 {{시간: '지난 6일'}}]->(c)",<< :왕_씨 :목격했다 << :남자아이 :매달려_있다 :위층_베란다 >> >> :에 :지난_6일 .
물가 상승세가 이어지면서 경제 전망에 대한 우려가 커지고 있습니다.,"(물가 상승세:수치 - 이어지다 - no information:none), (경제 전망:수치 - 우려가 커지다 - no information:none)","(a:수치 {{이름: ""물가 상승세""}})
(b:상황 {{이름: '경제 전망에 대한 우려'}})
(a)-[:이어지다]->(:None)
(b)-[:커지다]->(:None)","(a:수치 {{이름: ""물가 상승세""}})
(b:감정 {{이름: '경제 전망에 대한 우려'}})
(a)-[:이어지다]->(:None)
(b)-[:커지다]->(:None)","(a:경제:수치 {{이름: ""물가 상승세""}})
(b:경제 {{이름: ""경제 전망""}})
(c:우려 {{에_대한: (b)}})
(d:None)
(a)-[:지속되다]->(d)
(c)-[:커지다]->(d)","(a:물가 {{경향: ""상승"", 기간: ""지속적""}})
(b:경제:전망 {{경향: '우려됨'}})
(a)-[:따라서]->(b)",,,"(a:수치 {{이름: ""물가 상승세""}})
(b:감정 {{이름: '경제 전망에 대한 우려'}})
(a)-[:이어지다]->(:None)
(b)-[:커지다]->(:None)",<< :물가_상승세 :이어지다 :None >> :따라서 << << :경제_전망 :에_대한 :우려 >> :커지다 :None >> .
코로나19로 인한 제약으로 여행업계가 어려움을 겪고 있습니다.,(여행업계:산업 - 으로 어려움을 겪다 - 코로나19로 인한 제약:상황),"(a:산업 {{종류: '여행업계'}})
(b:상황 {{이름: '코로나 19로 인한 제약', 경향: '어려움'}})
(a)-[:겪다]->(b)","(a:산업 {{종류: '여행업계'}})
(b:상황 {{이름: '코로나 19로 인한 제약', 경향: '어려움'}})
(a)-[:겪다]->(b)","(a:코로나 {{이름: '코로나 19'}})
(b:여행업계)
(c:어려움)
(d:제약)
(a)-[:때문에]->(d)
(d)-[:때문에]->(c)
(b)-[:겪다]->(c)","(a:코로나 {{이름: '코로나 19', 경향: '제약적'}})
(b:여행업계 {{경향: '어려움'}})
(a)-[:따라서]->(b)",,,"(a:산업 {{종류: '여행업계'}})
(b:상황 {{이름: '코로나 19로 인한 제약', 경향: '어려움'}})
(a)-[:겪다]->(b)",<< :코로나_19 :로_인한 :제약 >> :때문에 << :여행업계 :겪다 :어려움 >> .
왕 씨는 지난 6일에 위층 베란다에 남자아이가 매달려 있는 상황을 목격했다. 왕 씨는 지방 당국에 신고했다. 지방 당국은 왕씨 일가에게 용감한 시민상을 수여했다.,"(지난 6일:시간 - 위층 베란다에 - 남자아이가 매달려 있다:상황), 
(왕 씨:사람 - 목격했다 - 남자아이가 매달려 있다:상황), 
(왕 씨:사람 - 에 신고했다 - 지방 당국:기관), 
(지방 당국:기관 - 수여했다 - 용감한 시민상:상), 
(지방 당국:기관 - 에게 수여했다 - 왕씨 일가:사람)","(a:사람 {{이름: '왕 씨'}})
(b:장소 {{이름: '위층 베란다'}})
(c:사람 {{이름: '남자 아이'}})
(d:기관 {{이름: '지방 당국'}})
(e:물건 {{이름: '용감한 시민상'}})
(f:사람 {{이름: '왕씨 일가'}})
(c)-[:매달리다]->(b)
(a)-[:목격했다 {{시간: '지난 6일'}}]->(c)
(a)-[:신고했다 {{에게: (d)}}]->(c)
(d)-[:수여했다 {{에게: (f)}}]->(e)","(a:사람 {{이름: '왕 씨'}})
(b:장소 {{이름: '위층 베란다'}})
(c:사람 {{이름: '남자 아이'}})
(d:기관 {{이름: '지방 당국'}})
(e:물건 {{이름: '용감한 시민상'}})
(f:사람 {{이름: '왕씨 일가'}})
(c)-[:매달리다 {{시간: '지난 6일'}}]->(b)
(a)-[:목격하다 {{시간: '지난 6일'}}]->(c)
(a)-[:신고하다 {{에게: '지방 당국', 시간: '과거'}}]->(c)
(d)-[:수여하다 {{에게: '왕씨 일가', 시간: '과거'}}]->(e)","(a:사람 {{name: '왕 씨'}})
(b:장소 {{name: '위층 베란다'}})
(c:사람 {{성별: '남자', 연령: '아이'}})
(d:기관 {{name: '지방 당국'}})
(e:상 {{name: '용감한 시민상'}})
(f:사람들 {{name: '왕씨 일가'}})
(c)-[:매달리다 {{시간: '지난 6일'}}]->(b)
(a)-[:목격하다 {{시간: '지난 6일'}}]->(c)
(a)-[:신고하다 {{에게: (d), 시간: '과거'}}]->(c)
(d)-[:수여하다 {{에게: (f), 시간: '과거'}}]->(e)","(a:사람 {{이름: '왕 씨'}})
(b:사건 {{누가: '남자 아이', 무엇을: '매달리다', 어디에: '위층 베란다', 언제: '지난 6일'}})
(c:지방:당국)
(a)-[:목격:신고 {{시간: '지난 6일', 에게: '지방 당국'}}]->(b)
(c)-[:수여 {{상: '용감한 시민상', 이유: '남자 아이가 베란다에 매달린 사건을 목격, 신고함'}}]->(a)",,,"(a:사람 {{이름: '왕 씨'}})
(b:장소 {{이름: '위층 베란다'}})
(c:사람 {{이름: '남자 아이'}})
(d:기관 {{이름: '지방 당국'}})
(e:물건 {{이름: '용감한 시민상'}})
(f:사람 {{이름: '왕씨 일가'}})
(c)-[:매달리다 {{시간: '지난 6일'}}]->(b)
(a)-[:목격하다 {{시간: '지난 6일'}}]->(c)
(a)-[:신고하다 {{에게: (d), 시간: '과거'}}]->(c)
(d)-[:수여하다 {{에게: (f), 시간: '과거'}}]->(e)","<< :왕_씨 :목격했다 << :남자아이 :매달려_있다 :위층_베란다 >> >> :에 :지난_6일 .
<< :왕_씨 :신고했다 << :남자아이 :매달려_있다 :위층_베란다 >> >> :에 :지방_당국 .
<< :지방_당국 :수여했다 :용감한_시민상 >> :에게 :왕씨_일가 ."
