input,query
오늘부터 이틀간이 전력 수요 피크를 이룰 것으로 보인다. 이창양 산업통상자원부 장관은 7일 서울 마포구 중부발전 서울발전본부를 직업 찾아 전력설비 관리 현황을 점검하고 현장직원을 격려했다. 또 이번 주는 전 국민적으로 에너지 절감에 동참해 달라고 당부했다.,"CREATE (a:이번주)
CREATE (b:전력수요)
CREATE (c:이창양)
CREATE (d:산업통상자원부)
CREATE (e:장관)
CREATE (h:마포구)
CREATE (i:중부발전)
CREATE (j:서울발전본부)
CREATE (k:전력설비)
CREATE (l:관리)
CREATE (m:현장직원)
CREATE (n:격려)
CREATE (o:에너지절감)
CREATE (p:국민)
CREATE (a)-[:START]->(b)
CREATE (b)-[:PEAK]->(c)
CREATE (c)-[:MINISTER]->(d)
CREATE (d)-[:JOB]->(e)
CREATE (e)-[:CHECK]->(f)
CREATE (f)-[:LOCATION]->(g)
CREATE (g)-[:MANAGE]->(h)
CREATE (h)-[:PART]->(i)
CREATE (i)-[:JOIN]->(j)
CREATE (j)-[:INSPECTION]->(k)
CREATE (k)-[:ENCOURAGE]->(m)
CREATE (m)-[:MESSAGE]->(n)
CREATE (n)-[:ENERGY_SAVING]->(o)"
"이 장관은 설비점검 현황을 직접 보고받고, 발전소 운영을 통제하는 전기실·가스터빈이 가동 중인 지하발전소 등 주요시설을 시찰하며 전력 수급 상황을 살폈다.","CREATE (a:이_장관)
CREATE (b:설비점검_현황)
CREATE (c:발전소_운영)
CREATE (d:전기실·가스터빈)
CREATE (e:가동 중인 지하발전소)
CREATE (f:주요시설)
CREATE (g:전력 수급 상황)
CREATE (a)-[:직접 보고받고]->(b)
CREATE (c)-[:통제하는]->(d)
CREATE (d)-[:가동 중인]->(e)
CREATE (e)-[:시찰하며]->(f)
CREATE (f)-[:전력 수급 상황을 살폈다"
"이 장관은 ""이번 주 수요증가에 대비해 원전, 화력발전 등을 총동원하여 충분한 공급능력을 확보했으나 예상을 벗어난 폭염이나 피크시간대 태양광발전 변동성 등이 생길 수 있으므로 실시간으로 상황을 살피며 수급관리에 한치의 빈틈이 없도록 관리하겠다""고 밝혔다.","CREATE (a:이_장관)
CREATE (b:이번_주_수요증가)
CREATE (c:원전)
CREATE (d:화력발전)
CREATE (e:충분한_공급능력)
CREATE (f:예상을_벗어난_폭염)
CREATE (g:피크시간대_태양광발전_변동성)
CREATE (h:실시간으로_상황을_살피며)
CREATE (i:수급관리에_한치의_빈틈이_없도록)
CREATE (j:관리하겠다)
CREATE (a)-[:밝혔다]->(b)
CREATE (a)-[:대비해]->(c)
CREATE (a)-[:총동원하여]->(d)
CREATE (d)-[:충분한_공급능력을_확보했으나]->(e)
CREATE (e)-[:예상을_벗어난]->(f)
CREATE (f)-[:폭염이나]->(g)
CREATE (g)-[:피크시간대_태양광발전_변동성]->(h)
CREATE (h)-[:실시간으로_상황을_살피며]->(i)
CREATE (i)-[:수급관리에_한치의_빈틈이_없도록]->(j)"
"또 이 장관은 유관 기관에 ""전력 설비를 반복적으로 점검해 불시고장이 발생하지 않도록 미연에 방지하고, 폭염이 지속되는 상황에서 현장 근로자들의 온열질환 등 작업장 안전관리도 세심히 챙겨달라""고 당부했다.","CREATE (a:장관)
CREATE (b:유관기관)
CREATE (c:전력설비)
CREATE (d:불시고장)
CREATE (e:미연)
CREATE (g:현장근로자)
CREATE (h:온열질환)
CREATE (i:작업장안전관리)
CREATE (a)-[:당부했다]->(b)
CREATE (b)-[:점검해]->(c)
CREATE (c)-[:반복적으로]->(d)
CREATE (d)-[:발생하지_않도록]->(e)
CREATE (e)-[:미연에]->(f)
CREATE (f)-[:지속되는]->(g)
CREATE (g)-[:온열질환_등]->(h)"
"이어 국민에게도 ""수요를 결정하는 것은 결국 국민""이라며 ""이번주 만큼은 에너지 절감에 동참하고 일부 매장의 개문냉방을 자제해달라""고 요청했다.","CREATE (a:국민 {이름: '이어'})
CREATE (b:결정 {이름: '수요'})
CREATE (c:국민 {이름: '국민'})
CREATE (d:에너지 {이름: '에너지 절감'})
CREATE (e:매장 {이름: '매장'})
CREATE (f:개문냉방 {이름: '개문냉방'})
CREATE (a)-[:결정하다]->(b)
CREATE (b)-[:에너지_절감]->(d)
CREATE (d)-[:동참하다]->(c)
CREATE (c)-[:일부_매장_개문냉방_자제하다]->(e)"
"산업부는 기상청의 예보 등을 종합해 7일부터 8일 오후까지 전력 수요가 올 여름 최고치인 92.9GW(기가와트)까지 높아질 것이라고 보고 있다. 전력거래소는 이날 최대전력 발생 시간은 오후 5∼6시, 최대전력은 92.7GW로 예상하고 있다.","CREATE (a:산업부)
CREATE (b:기상청)
CREATE (c:예보)
CREATE (d:전력_수요)
CREATE (e:전력거래소)
CREATE (f:최대전력)
CREATE (g:시간)
CREATE (a)-[:종합해]->(c)
CREATE (c)-[:높아질_것이라고_보고_있다]->(d)
CREATE (d)-[:올_여름_최고치인]->(f)
CREATE (f)-[:발생_시간은]->(g)"
전력 공급 능력은 104GW가 확보된 상황이다. 지난달 말 고장으로 가동이 멈췄던 한빛원전 2호기가 지난 4일 원자력안전위원회의 재가동 승인에 따라 6일부터 정상 가동되면서 한숨 돌린 모양새다.,"CREATE (a:전력_공급_능력)
CREATE (b:한빛원전_2호기)
CREATE (c:고장)
CREATE (d:원자력안전위원회)
CREATE (e:재가동_승인)
CREATE (f:6일)
CREATE (a)-[:확보된_상황이다]->(b)
CREATE (b)-[:가동이_멈췄던]->(c)
CREATE (c)-[:고장으로]->(d)
CREATE (d)-[:재가동_승인]->(e)"
"피크시 92.9GW의 전력 수요에 대응하더라도 11GW 이상의 예비력이 남아있는 셈이다. 전력 경보 기준은 예비력 4.5GW 시 '관심'에서 시작해 3.5GW '주의', 2.5GW '경계', 1.5GW '심각'으로 격상된다.","CREATE (a:전력_수요 {이름: '피크시 92.9GW'})
CREATE (b:예비력 {이름: '11GW 이상'})
CREATE (a)-[:대응하다]->(b)
CREATE (b)-[:남아있다]->(:None)
CREATE (c:전력_경보_기준)
CREATE (c)-[:시작해]->(d:예비력 4.5GW)
CREATE (d)-[:주의]->(e:예비력 3.5GW)
CREATE (e)-[:경계]->(f:예비력 2.5GW)
CREATE (f)-[:심각]->(g:예비력 1.5GW)
CREATE (g)-[:격상된다]->("
전력 당국은 지난 6월 15일부터 여름철 대책 기간을 운영 중이다. 이번 주 피크에 대비해 사실상 비상 체제를 가동하고 있다.,"CREATE (a:전력_당국)
CREATE (b:여름철_대책_기간)
CREATE (a)-[:운영_중이다 {시간: '지난 6월 15일부터'}]->(b)
CREATE (b)-[:피크에_대비해 {에서: '이번 주'}]->(:비상 체제)"
"전북 부안군 새만금에서 열리고 있는 ‘제25회 세계스카우트잼버리’(잼버리)의 정상 진행을 위해 정부는 물론 재계·종교계까지 민관(民官)이 팔을 걷어붙인 상황에서, 여야가 며칠째 ‘네 탓 공방’ 수렁에 빠지고 있다.","CREATE (a:전북_부안군)
CREATE (b:새만금)
CREATE (c:제25회_세계스카우트잼버리)
CREATE (d:정부)
CREATE (f:종교계)
CREATE (g:민관)
CREATE (i:네_탓_공방)
CREATE (j:수렁)
CREATE (a)-[:위해]->(c)
CREATE (c)-[:정상_진행]->(d)
CREATE (d)-[:민관]->(g)
CREATE (g)-[:팔을_걷어붙인]->(e)
CREATE (e)-[:며칠째]->(f)
CREATE (f)-[:빠지고_있다]->(h)
CREATE (h)-[:네_탓_공방]->(i)"
"김기현 국민의힘 대표는 7일 국회에서 열린 최고위원회의에서 “잼버리 유치 확정은 2017년 8월 문재인 정부 시절”이라며 “문 전 대통령이 직접 영상까지 찍어 홍보에 열중했으며, 관련 특별법이 국회를 통과하고 준비종합계획 수립 같은 용역도 모두 문재인 정권에서 주도했다”고 밝혔다. 김 대표는 이어 “민주당이 제대로 된 공당이라면 정부 비판 전에 자신들의 과거 실정부터 반성해야 한다”며 야권 책임을 부각했다.","CREATE (a:김기현 {이름: '김기현'})
CREATE (b:국민의힘 {이름: '국민의힘'})
CREATE (c:최고위원회의 {이름: '최고위원회의'})
CREATE (d:문재인 {이름: '문재인'})
CREATE (e:대통령 {이름: '대통령'})
CREATE (f:홍보 {이름: '홍보'})
CREATE (g:특별법 {이름: '특별법'})
CREATE (h:준비종합계획 {이름: '준비종합계획'})
CREATE (i:민주당 {이름: '민주당'})
CREATE (a)-[:대표]->(b)
CREATE (c)-[:열린]->(a)
CREATE (d)-[:문재인]->(e)
CREATE (e)-[:직접]->(f)
CREATE (f)-[:홍보에]->(g)
CREATE (g)-[:국회를]->(h)
CREATE (h)-[:주도했다]->(i)"
오늘부터 이틀간이 전력 수요 피크를 이룰 것으로 보인다. 이창양 산업통상자원부 장관은 7일 서울 마포구 중부발전 서울발전본부를 직업 찾아 전력설비 관리 현황을 점검하고 현장직원을 격려했다. 또 이번 주는 전 국민적으로 에너지 절감에 동참해 달라고 당부했다.,"CREATE (a:이번주)
CREATE (b:전력수요)
CREATE (c:이창양)
CREATE (d:산업통상자원부)
CREATE (e:장관)
CREATE (h:마포구)
CREATE (i:중부발전)
CREATE (j:서울발전본부)
CREATE (k:전력설비)
CREATE (l:관리)
CREATE (m:현장직원)
CREATE (n:격려)
CREATE (o:에너지절감)
CREATE (p:국민)
CREATE (a)-[:START]->(b)
CREATE (b)-[:PEAK]->(c)
CREATE (c)-[:MINISTER]->(d)
CREATE (d)-[:JOB]->(e)
CREATE (e)-[:CHECK]->(f)
CREATE (f)-[:LOCATION]->(g)
CREATE (g)-[:MANAGE]->(h)
CREATE (h)-[:PART]->(i)
CREATE (i)-[:JOIN]->(j)
CREATE (j)-[:INSPECTION]->(k)
CREATE (k)-[:ENCOURAGE]->(m)
CREATE (m)-[:MESSAGE]->(n)
CREATE (n)-[:ENERGY_SAVING]->(o)"
