kg,prompt,example,model,input_idx,input,output,structure_score,note
LPG_tense,Eng,1,Llama2,0,국내 외식업계가 위축되었다.,"(a:외식업계)
(a)-[:위축되다]->(:None)
",1,
LPG_tense,Eng,1,Llama2,1,플라스틱 사용 줄이기 캠페인이 확대되었다.,"(a:캠페인 {이름: '플라스틱 사용 줄이기 캠페인'})
(a)-[:확대되다]->(:None)
",1,
LPG_tense,Eng,1,Llama2,2,환경 보호 운동이 활발히 일어나고 있다.,"(a:환경 {이름: '환경 보호 운동'})
(a)-[:일어나다]->(:None)
",1,
LPG_tense,Eng,1,Llama2,3,한국 우주청은 달 탐사 로봇 '루나 2'를 성공적으로 발사하였습니다.,"(a:기관 {이름: '한국 우주청'})
",0,
LPG_tense,Eng,1,Llama2,4,유럽 연합은 인공지능 규제에 대한 법안을 추진하고 있습니다.,"(a:기관 {이름: '유럽 연합'})
(b:법안 {속성: '인공지능 규제'})
(a)-[:추진하다 {시간: '현재'}]->(b)
",1,
LPG_tense,Eng,1,Llama2,5,올림픽 평화봉송단이 남북한 선수들의 공동 출전을 예고하였습니다.,"(a:올림픽 {이름: '평화봉송단'})
(b:사람 {이름: '남북한 선수들'})
",1,
LPG_tense,Eng,1,Llama2,6,교육부는 국내 초중고등학교의 교육과정 개편을 검토 중에 있습니다.,"(a:기관 {이름: '교육부'})
(b:교육과정)
(a)-[:검토하다 {시간: '현재'}]->(b)
",1,
LPG_tense,Eng,1,Llama2,7,나는 선생님이 아니다.,"(a:사람 {이름: '나'})
(b:사람 {이름: '선생님'})
(a)-[:아니다]->(:None)
",1,
LPG_tense,Eng,1,Llama2,8,한국은 '반도체 1위'가 아니다.,"(a:국가 {이름: '한국'})
(b:반도체 {속성: '1위'})
(a)-[:아니다]->(b)
",1,
LPG_tense,Eng,1,Llama2,9,IAEA 최종 보고서는 일본의 해양범죄에 대한 면죄부가 아니다.,"(a:기관 {이름: 'IAEA'})
(b:보고서 {이름: '최종 보고서'})
(c:국가 {이름: '일본'})
(d:범죄 {이름: '해양범죄'})
(a)-[:발표하다 {시간: '과거'}]->(b)
(b)-[:언급하다 {시간: '과거'}]->(c)
(b)-[:언급하다 {시간: '과거'}]->(d)
",1,
LPG_tense,Eng,1,Llama2,10,지연된 정의는 정의가 아니다.,"(a:정의 {이름: '정의'})
(a)-[:지연되다]->(:None)
(b)-[:지연되다]->(:None)
",1,
LPG_tense,Eng,1,Llama2,11,구로공단 '공순이'는 21세기 '콜순이'가 되었다.,"(a:공순이 {이름: '구로공단 공순이'})
(b:콜순이 {이름: '21세기 콜순이'})
(a)-[:되다]->(b)
",1,
LPG_tense,Eng,1,Llama2,12,미끄러운 빗길은 교통사고로 이어졌다.,"(a:빗길 {속성: '미끄러운'})
(b:교통사고)
(a)-[:이어지다 {시간: '과거'}]->(b)
",1,
LPG_tense,Eng,1,Llama2,13,아프리카 국가들은 에볼라 바이러스 감염 확산에 대응하고 있습니다.,"(a:국가 {이름: '아프리카 국가들'})
(b:바이러스 {이름: '에볼라 바이러스'})
",1,
LPG_tense,Eng,1,Llama2,14,여름 휴가지가 인기로 떠오르고 있습니다.,"(a:여름 {이름: '여름 휴가지'})
(a)-[:인기로_떠오르다]->(:None)
",1,
LPG_tense,Eng,1,Llama2,15,희귀병 환자는 세상을 떠나고도 4명에게 생명을 주었다.,"(a:사람 {이름: '희귀병 환자'})
(b:사람 {이름: '환자 1'})
(c:사람 {이름: '환자 2'})
(d:사람 {이름: '환자 3'})
(e:사람 {이름: '환자 4'})
(a)-[:죽다 {시간: '과거'}]->(:None)
(a)-[:생명_주다 {시간: '과거'}]->(b)
(a)-[:생명_주다 {시간: '과거'}]->(c)
(a)-[:생명_주다 {시간: '과거'}]->(d)
(a)-[:생명_주다 {시간: '과거'}]->(e)
",1,
LPG_tense,Eng,1,Llama2,16,엄마가 아기에게 이름을 붙여주었다.,"(a:사람 {이름: '엄마'})
(b:아기)
",1,
LPG_tense,Eng,1,Llama2,17,'50억 무죄' 판결은 이 당연한 의문에 답을 주지 못한다.,"(a:판결 {이름: '50억 무죄'})
(b:의문)
",1,
LPG_tense,Eng,1,Llama2,18,농구 국가대표팀이 월드컵 본선 진출에 성공했습니다.,"(a:국가대표팀 {이름: '농구 국가대표팀'})
(a)-[:진출하다 {대상: '월드컵 본선'}]->(:None)
",1,
LPG_tense,Eng,1,Llama2,19,번개장터는 우정사업본부와 중고 거래 플랫폼 최초 '우체국소포'를 정식 출시한다고 밝혔다.,"(a:기관 {이름: '우정사업본부'})
(b:기관 {이름: '번개장터'})
(c:기관 {이름: '우체국'})
(d:기관 {이름: '우체국소포'})
(a)-[:출시하다 {시간: '과거'}]->(d)
(b)-[:출시하다 {시간: '과거'}]->(d)
(d)-[:출시하다 {시간: '과거'}]->(c)
",1,
LPG_tense,Eng,1,Llama2,20,첫 월급을 받은 아들과 딸이 깜짝 선물을 주었다.,"(a:사람 {이름: '아들'})
(b:사람 {이름: '딸'})
(c:사람 {이름: '부모'})
(a)-[:받다 {에게: (c), 시간: '과거'}]->(:월급)
(b)-[:받다 {에게: (c), 시간: '과거'}]->(:월급)
(a)-[:선물하다 {에게: (c), 시간: '과거'}]->(:선물)
(b)-[:선물하다 {에게: (c), 시간: '과거'}]->(:선물)
",0,"(a)-[:받다 {에게: (c), 시간: '과거'}]->(:월급)"
LPG_tense,Eng,1,Llama2,21,"물가 상승으로 가계부담이 늘어나고 있으며, 이로 인해 인플레이션 우려가 커지고 있습니다.","(a:경제 {이름: '물가 상승'})
(b:가계부담)
(c:인플레이션 {이름: '인플레이션 우려'})
(a)-[:늘리다 {에_대한: (b), 시간: '과거'}]->(b)
(a)-[:때문에]->(:None)
(:때문에)-[:때문에]->(c)
",0,"(a)-[:늘리다 {에_대한: (b), 시간: '과거'}]->(b)"
LPG_tense,Eng,1,Llama2,22,"테슬라는 자율주행 자동차 사고로 논란이 일어나고 있으며, 안전성에 대한 논의가 계속되고 있습니다.","(a:자동차 {이름: '테슬라'})
(b:사고)
(d:안전성)
(e:논의)
(a)-[:사고로_인해서]->(b)
(b)-[:일어나다]->(:None)
(c)-[:일어나다]->(:None)
(c)-[:논란으로_인해서]->(e)
(e)-[:계속되다]->(:None)
",1,
LPG_tense,Eng,1,Llama2,23,정부는 기후변화 대응을 강화하기 위해 신재생에너지에 대한 투자를 확대하고 있습니다.,"(a:정부)
(b:기후변화)
(c:대응)
(e:신재생에너지)
(f:투자)
(a)-[:강화하다 {에게: (c), 시간: '과거'}]->(d)
(a)-[:확대하다 {에게: (f), 시간: '과거'}]->(e)
(c)-[:대응하다 {에게: (b), 시간: '과거'}]->(d)
",0,"(a)-[:강화하다 {에게: (c), 시간: '과거'}]->(d)"
LPG_tense,Eng,1,Llama2,24,세계보건기구(WHO)가 신병균 '루카'에 대한 글로벌 대응을 위해 협의하고 있습니다.,"(a:기관 {이름: '세계보건기구'})
(b:기관 {이름: 'WHO'})
(c:기관 {이름: '루카'})
(a)-[:이름으로]->(b)
",1,
LPG_tense,Eng,1,Llama2,25,미국과 중국은 무역갈등을 완화하기 위해 협상을 재개하려고 합니다.,"(a:국가 {이름: '미국'})
(b:국가 {이름: '중국'})
",1,
LPG_tense,Eng,1,Llama2,26,한국 청소년들의 스마트폰 중독이 증가하면서 대책 마련 필요성이 제기되고 있습니다.정부가 코로나19 방역 대책 강화를 위해 예산 증액을 추진하고 있습니다.,"(a:청소년 {국적: '한국'})
(b:스마트폰 {속성: '중독'})
(c:대책 {속성: '마련'})
(d:정부)
(e:예산 {속성: '증액'})
(f:대책 {속성: '강화'})
(a)-[:증가하다 {시간: '과거'}]->(b)
(c)-[:마련하다 {시간: '과거'}]->(:None)
(d)-[:추진하다 {시간: '과거'}]->(e)
(d)-[:추진하다 {시간: '과거'}]->(f)
",1,
LPG_tense,Eng,1,Llama2,27,젊은 릴케는 스승이 아닌 동료였기에 멘토가 되었다.,"(a:사람 {이름: '릴케'})
(b:사람 {이름: '스승'})
(c:사람 {이름: '동료'})
(d:사람 {이름: '멘토'})
(a)-[:아닌]->(:None)
(b)-[:아닌]->(:None)
(c)-[:아닌]->(:None)
(a)-[:이다 {시제: '과거'}]->(d)
",1,
LPG_tense,Eng,1,Llama2,28,검사마저 울먹이자 법정은 울음바다가 되었다.,"(a:사람 {이름: '검사'})
(b:장소 {이름: '법정'})
(a)-[:울먹이다]->(:None)
(b)-[:울음바다가_되다]->(:None)
",1,
LPG_tense,Eng,1,Llama2,29,중소기업중앙회는 지난 13일부터 20일까지 3062개 중소기업을 대상으로 실시한 ‘2023년 8월 중소기업 경기전망조사’ 결과를 30일 밝혔다.,"(a:기관 {이름: '중소기업중앙회'})
(b:기관 {이름: '중소기업'})
(c:수치 {이름: '경기전망'})
(a)-[:실시하다 {시간: '지난 13일부터 20일까지'}]->(:조사)
(a)-[:대상으로_삼다 {시간: '지난 13일부터 20일까지'}]->(b)
(a)-[:밝히다 {시간: '30일'}]->(c)
",1,
LPG_tense,Eng,1,Llama2,30,먼저 ‘어제 행복도’는 10점 만점 기준 2018년 5.72점에서 2022년 6.29점으로 상승했다.,"(a:행복도 {이름: '어제 행복도'})
(a)-[:상승하다 {시간: '2018년', 시제: '과거'}]->(:None)
(a)-[:상승하다 {시간: '2022년', 시제: '과거'}]->(:None)
",1,
LPG_tense,Eng,1,Llama2,31,"제조업의 8월 경기전망은 전월대비 3.5p 하락한 80.6이며, 비제조업은 2.4p 상승한 79.3으로 나타났다.","(a:경기전망 {이름: '제조업의 8월 경기전망'})
(b:경기전망 {이름: '비제조업의 8월 경기전망'})
(a)-[:하락하다 {시간: '전월', 양: '3.5p'}]->(:None)
(a)-[:상승하다 {시간: '전월', 양: '2.4p'}]->(:None)
(b)-[:하락하다 {시간: '전월', 양: '3.5p'}]->(:None)
(b)-[:상승하다 {시간: '전월', 양: '2.4p'}]->(:None)
",1,
LPG_tense,Eng,1,Llama2,32,"올해 장마는 평년보다 많은 비를 기록할 가능성이 높다는 게 전문가들 관측이다. 기상청은 장마철이 시작된 6월25일부터 현재까지 약 2주간 전국 대부분 지역에 200~300㎜, 전남 일부 지역은 600㎜ 안팎의 많은 누적 강수량을 기록했다고 밝혔다.","(a:장마 {이름: '올해 장마'})
(b:비 {양: '많은'})
(a)-[:기록하다 {시간: '올해'}]->(b)
(a)-[:기록하다 {시간: '올해'}]->(c)
",1,
LPG_tense,Eng,1,Llama2,33,"온라인동영상서비스(OTT) 플랫폼 넷플릭스가 구독자 간 ‘무료 계정 공유’를 금지한 뒤 신규 구독자가 큰 폭으로 늘어났다. 19일(현지시간) 넷플릭스가 발표한 실적 보고서를 보면, 넷플릭스 가입자는 올해 2분기 전세계에서 589만명 증가해 총 2억3839만명이 됐다. 전체 가입자 수가 지난해 같은 기간보다 8.0% 늘었다. 2분기 매출액은 81억8700만달러(약 10조3700억원), 영업이익은 18억2700만달러(약 2조3100억원)로 지난해 동기 대비 각각 2.7%, 15.8% 늘었다.","(a:기관 {name: '넷플릭스'})
(b:사람 {name: '구독자'})
(c:사람 {name: '신규 구독자'})
(d:사람 {name: '무료 계정 공유'})
(e:사람 {name: '전세계'})
(f:수치 {이름: '총 2억3839만명'})
(g:수치 {이름: '전체 가입자 수'})
(h:수치 {이름: '8.0%'})
(i:수치 {이름: '81억8700만달러'})
(j:수치 {이름: '18억2700만달러'})
(k:수치 {이름: '2.7%'})
(l:수치 {이름: '15.8%'})
(a)-[:금지하다 {시간: '과거'}]->(d)
(c)-[:증가하다 {시간: '과거'}]->(:None)
(c)-[:증가하다 {시간: '과거'}]->(f)
(f)-[:증가하다 {시간: '과거'}]->(g)
(g)-[:증가하다 {시간: '과거'}]->(h)
(i)-[:늘리다 {시간: '과거'}]->(:None)
(j)-[:늘리다 {시간: '과거'}]->(:None)
",1,
LPG_tense,Eng,1,Llama2,34,"[오늘부터 이틀간 '전력 피크'…산업장관 ""이번주 에너지 절감 동참"" 호소]

오늘부터 이틀간이 전력 수요 피크를 이룰 것으로 보인다. 이창양 산업통상자원부 장관은 7일 서울 마포구 중부발전 서울발전본부를 직업 찾아 전력설비 관리 현황을 점검하고 현장직원을 격려했다. 또 이번 주는 전 국민적으로 에너지 절감에 동참해 달라고 당부했다.
이 장관은 설비점검 현황을 직접 보고받고, 발전소 운영을 통제하는 전기실·가스터빈이 가동 중인 지하발전소 등 주요시설을 시찰하며 전력 수급 상황을 살폈다.
이 장관은 ""이번 주 수요증가에 대비해 원전, 화력발전 등을 총동원하여 충분한 공급능력을 확보했으나 예상을 벗어난 폭염이나 피크시간대 태양광발전 변동성 등이 생길 수 있으므로 실시간으로 상황을 살피며 수급관리에 한치의 빈틈이 없도록 관리하겠다""고 밝혔다.
또 이 장관은 유관 기관에 ""전력 설비를 반복적으로 점검해 불시고장이 발생하지 않도록 미연에 방지하고, 폭염이 지속되는 상황에서 현장 근로자들의 온열질환 등 작업장 안전관리도 세심히 챙겨달라""고 당부했다.
이어 국민에게도 ""수요를 결정하는 것은 결국 국민""이라며 ""이번주 만큼은 에너지 절감에 동참하고 일부 매장의 개문냉방을 자제해달라""고 요청했다.
산업부는 기상청의 예보 등을 종합해 7일부터 8일 오후까지 전력 수요가 올 여름 최고치인 92.9GW(기가와트)까지 높아질 것이라고 보고 있다. 전력거래소는 이날 최대전력 발생 시간은 오후 5∼6시, 최대전력은 92.7GW로 예상하고 있다.
전력 공급 능력은 104GW가 확보된 상황이다. 지난달 말 고장으로 가동이 멈췄던 한빛원전 2호기가 지난 4일 원자력안전위원회의 재가동 승인에 따라 6일부터 정상 가동되면서 한숨 돌린 모양새다.
피크시 92.9GW의 전력 수요에 대응하더라도 11GW 이상의 예비력이 남아있는 셈이다. 전력 경보 기준은 예비력 4.5GW 시 '관심'에서 시작해 3.5GW '주의', 2.5GW '경계', 1.5GW '심각'으로 격상된다.
전력 당국은 지난 6월 15일부터 여름철 대책 기간을 운영 중이다. 이번 주 피크에 대비해 사실상 비상 체제를 가동하고 있다.

출처: https://www.joongang.co.kr/article/25182967","(a:사람 {이름: '이창양'})
(b:사람 {이름: '전력 수요 피크'})
(c:사람 {이름: '산업장관'})
(d:사람 {이름: '현장직원'})
(e:사람 {이름: '전 국민'})
(f:사람 {이름: '발전소 운영'})
(g:사람 {이름: '전기실'})
(h:사람 {이름: '가스터빈'})
(i:사람 {이름: '지하발전소'})
(j:사람 {이름: '원전'})
(k:사람 {이름: '화력발전'})
(l:사람 {이름: '유관 기관'})
(m:사람 {이름: '현장 근로자'})
(n:사람 {이름: '국민'})
(o:사람 {이름: '기상청'})
(p:사람 {이름: '전력거래소'})
(q:사람 {이름: '한빛원전 2호기'})
(r:사람 {이름: '전력 당국'})
(s:사람 {이름: '여름철 대책 기간'})
(t:사람 {이름: '비상 체제'})
",0,
